Date,Platform,Skill,Hours_Worked,Payment_Received_USD,Project_Name
2024-01-05,Fiverr,Graphic Design,5,50,Logo Design for Startup
2024-01-10,Upwork,Copywriting,10,150,Website Content Creation
2024-01-15,Fiverr,Web Development,20,300,Basic Portfolio Site
2024-01-20,Upwork,Graphic Design,8,100,Social Media Graphics
2024-02-01,Fiverr,Copywriting,12,180,Blog Post Series
2024-02-08,Direct,Web Development,25,500,E-commerce Landing Page
2024-02-15,Upwork,Graphic Design,6,80,Flyer Design
2024-02-20,Fiverr,Video Editing,15,250,Short Explainer Video
2024-03-01,Upwork,Copywriting,10,160,Email Newsletter Draft
2024-03-05,Direct,Graphic Design,7,90,Brand Style Guide
2024-03-10,Fiverr,Web Development,30,600,Full Stack App Feature
2024-03-15,Upwork,Video Editing,18,300,YouTube Intro/Outro
